last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Eflin, Zach,621107,2019,R,2492,34.2,93.8,2185,55.8,93.5,2150,36.3,85.8,2271,7.9,86.7,1785,
Buehler, Walker,621111,2019,R,2831,53.2,96.5,2456,73.3,95.9,2491,26.2,84,2891,0.5,91.6,1516,
Berrios, Jose,621244,2019,R,3132,32.2,93.1,2190,55.3,92.7,2156,28.9,81.2,2334,15.9,82.5,1705,
Castillo, Luis,622491,2019,R,3069,29.7,96.4,2170,50.6,96.4,2130,16.9,85.9,2330,32.5,87.2,1972,
Lopez, Reynaldo,625643,2019,R,3161,58.5,95.4,2137,58.5,95.4,2137,26.6,82.5,2109,14.8,84,1610,
Hudson, Dakota,641712,2019,R,2845,13,93.9,2168,61.7,93.6,2141,35.6,85.9,2364,2.6,88.1,1459,
Keller, Brad,641745,2019,R,2711,41.8,93.7,2295,67.2,93.3,2221,31.4,84.9,2510,1.4,87.8,1698,
Alcantara, Sandy,645261,2019,R,3090,30.2,95.6,2356,57.8,95.5,2374,30.1,84.8,2479,12.1,89.1,1923,
Soroka, Mike,647336,2019,R,2555,18.7,92.9,2362,63.4,92.4,2231,24.3,83.2,2776,12.4,81.2,2178,
Flaherty, Jack,656427,2019,R,3078,46.7,94.3,2225,58.5,93.8,2183,39.4,82.8,2426,2,86.2,1704,
Lucchesi, Joey,664192,2019,L,2641,,,,64.9,90.2,2219,35.1,78.9,2091,,,,
Bieber, Shane,669456,2019,R,3223,45.7,93.1,2254,45.8,93.1,2254,47,84,2341,7.3,87.6,1725,
