last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Freeland, Kyle,607536,2018,L,3246,39.9,91.8,2266,29.3,85.8,2194,13.7,85.5,1393,4.6,79.9,2217,12.5,90.6,2212,,,,,,,,,,52.4,91.5,2253,33.9,85,2197,13.7,85.5,1393,
Giolito, Lucas,608337,2018,R,3005,39,92.4,2099,14.8,83.9,2015,15.7,81.7,1651,10.1,78.6,2359,20.5,92.4,2003,,,,,,,,,,59.5,92.4,2066,24.9,81.7,2155,15.7,81.7,1651,
Marquez, German,608566,2018,R,3117,46,95.4,2207,15.8,85.5,2349,6.4,85.7,1730,22.7,82,2689,9,94.1,2154,,,,,,,,,,55,95.2,2198,38.6,83.5,2550,6.4,85.7,1730,
Berrios, Jose,621244,2018,R,2980,34.4,93.4,2213,,,,9.1,83.7,1633,30.5,81.7,2360,26,92.8,2145,,,,,,,,,,60.4,93.2,2183,30.5,81.7,2360,9.1,83.7,1633,
Castillo, Luis,622491,2018,R,2771,36.7,95.8,2200,16.4,83.6,2206,26.4,86.2,1931,,,,20.5,95.6,2102,,,,,,,,,,57.2,95.7,2165,16.4,83.6,2206,26.4,86.2,1931,
Severino, Luis,622663,2018,R,3148,50.5,97.6,2365,36,88.1,2872,13.6,88.1,1648,,,,,,,,,,,,,,,,50.5,97.6,2365,36,88.1,2872,13.6,88.1,1648,
Lopez, Reynaldo,625643,2018,R,3082,60.7,95.5,2102,17.9,83.9,2119,15.5,83.6,1541,5.8,75.9,2065,0.1,93.5,2021,,,,,,,,,,60.8,95.5,2102,23.7,81.9,2105,15.5,83.6,1541,
Godley, Zack,643327,2018,R,3006,0.1,89.2,2360,,,,5.3,81.1,1287,40.3,81.4,2178,32.1,89.9,2234,22.2,88.9,2197,,,,,,,54.4,89.5,2219,40.3,81.4,2178,5.3,81.1,1287,
Newcomb, Sean,656794,2018,L,2918,62.3,93,2179,4.3,80.5,2583,19.2,86.3,1619,14.3,76.8,2713,,,,,,,,,,,,,62.3,93,2179,18.6,77.6,2683,19.2,86.3,1619,
Wainwright, Adam,425794,2021,R,648,11,89.4,2208,,,,6.6,83.3,1711,32.6,73.4,2805,25.2,89.7,2225,24.7,85.1,2383,,,,,,,60.8,87.8,2286,32.6,73.4,2805,6.6,83.3,1711,
Greinke, Zack,425844,2021,R,712,37.9,88.5,2267,9.6,82.8,2444,22.5,86.6,1651,21.2,71.3,2407,8.8,89.5,2181,,,,,,,,,,46.8,88.7,2251,30.8,74.9,2418,22.5,86.6,1651,
Hill, Rich,448179,2021,L,599,42.1,88.8,2375,4.7,70.5,2700,,,,41.4,73,2816,4,85.9,2288,7.8,83.9,2462,,,,,,,53.9,87.9,2381,46.1,72.7,2804,,,,
Morton, Charlie,450203,2021,R,671,29.2,95.1,2348,,,,1.8,86.2,2085,32.3,79.4,3045,24.9,94.3,2135,11.8,87.4,2366,,,,,,,65.9,93.4,2271,32.3,79.4,3045,1.8,86.2,2085,
Scherzer, Max,453286,2021,R,697,47.5,93.8,2491,19.8,85.7,2359,14.9,84.8,1489,7.2,76.4,2690,,,,10.6,89.9,2525,,,,,,,58.1,93.1,2497,27,83.2,2447,14.9,84.8,1489,
Kershaw, Clayton,477132,2021,L,643,37.2,90.9,2564,45.9,87.6,2680,,,,17,74.7,2609,,,,,,,,,,,,,37.2,90.9,2564,62.8,84.1,2661,,,,
Pineda, Michael,501381,2021,R,588,51.9,90.8,1986,34.4,81.8,1994,13.8,85.4,1739,,,,,,,,,,,,,,,,51.9,90.8,1986,34.4,81.8,1994,13.8,85.4,1739,
Gibson, Kyle,502043,2021,R,704,12.9,93.2,2310,19.2,83.4,2542,10.8,85.1,1746,6.3,79.2,2449,36.9,92.7,2202,13.9,89.1,2401,,,,,,,63.8,92,2267,25.4,82.3,2519,10.8,85.1,1746,
Darvish, Yu,506433,2021,R,751,18.1,94.5,2542,23,81.6,2778,0.1,80.2,1390,11.2,75.7,2749,5.6,94.4,2443,37.3,85.9,2745,4.7,90.2,1492,,,,61,89.2,2657,34.2,79.7,2769,4.8,89.9,1489,
Bumgarner, Madison,518516,2021,L,714,35.9,90.8,2500,,,,3.6,84.3,1706,23,78.9,2667,,,,37.5,86.2,2566,,,,,,,73.4,88.4,2534,23,78.9,2667,3.6,84.3,1706,
Duffy, Danny,518633,2021,L,690,42.3,93.8,2281,20.7,83.6,2481,15.7,84.9,2302,10,77.6,2473,11.3,93.4,2211,,,,,,,,,,53.6,93.7,2266,30.7,81.7,2479,15.7,84.9,2302,
Harvey, Matt,518774,2021,R,679,38.1,93.3,2135,18.7,86.1,2363,10.3,84.8,1651,8.7,79.9,2392,24.2,92.7,2117,,,,,,,,,,62.3,93,2128,27.4,84.1,2372,10.3,84.8,1651,
Kelly, Merrill,518876,2021,R,734,34.6,91.3,2418,,,,17,86.2,2065,19.2,80.6,2610,21.9,91.2,2328,7.2,89.8,2396,,,,,,,63.8,91.1,2385,19.2,80.6,2610,17,86.2,2065,
Anderson, Tyler,542881,2021,L,627,34.8,90.1,2418,,,,27.6,80.4,1923,0.8,75,2555,9.1,89.3,2368,27.8,84,2610,,,,,,,71.6,87.7,2486,0.8,75,2555,27.6,80.4,1923,
Cole, Gerrit,543037,2021,R,801,46.6,97.1,2568,20.3,88.2,2713,15.5,88.9,1766,17.6,82.9,2845,,,,,,,,,,,,,46.6,97.1,2568,38,85.7,2774,15.5,88.9,1766,
DeSclafani, Anthony,543101,2021,R,676,26,93.7,2285,33.6,87.1,2192,8.7,87.9,1593,10.2,83.2,1861,21.4,94,2133,,,,,,,,,,47.5,93.9,2216,43.8,86.2,2115,8.7,87.9,1593,
Eovaldi, Nathan,543135,2021,R,721,43,97.1,2134,11.9,85.7,2195,,,,20,78.5,2115,,,,13.5,92.7,2296,11.7,88.2,1595,,,,56.4,96.1,2173,31.9,81.2,2145,11.7,88.2,1595,
